,threshold_RPM,TP,FP,TN,FN,TPR,TNR,PPV,NPV,FPR,YoudenIndex
0,0,0,0,0,0,1,0,0,1,1.0,0.0
0,0.1,0.0,40.0,4.0,9.0,0.0,0.09090909090909091,0.0,0.3076923076923077,0.9090909090909091,-0.9090909090909091
0,0.22,0.0,36.0,8.0,9.0,0.0,0.18181818181818182,0.0,0.47058823529411764,0.8181818181818181,-0.8181818181818181
0,0.364,0.0,35.0,9.0,9.0,0.0,0.20454545454545456,0.0,0.5,0.7954545454545454,-0.7954545454545454
0,0.5367999999999999,0.0,34.0,10.0,9.0,0.0,0.22727272727272727,0.0,0.5263157894736842,0.7727272727272727,-0.7727272727272727
0,0.7441599999999999,0.0,34.0,10.0,9.0,0.0,0.22727272727272727,0.0,0.5263157894736842,0.7727272727272727,-0.7727272727272727
0,0.9929919999999999,0.0,33.0,11.0,9.0,0.0,0.25,0.0,0.55,0.75,-0.75
0,1.2915903999999998,0.0,33.0,11.0,9.0,0.0,0.25,0.0,0.55,0.75,-0.75
0,1.64990848,0.0,32.0,12.0,9.0,0.0,0.2727272727272727,0.0,0.5714285714285714,0.7272727272727273,-0.7272727272727273
0,2.0798901759999997,0.0,32.0,12.0,9.0,0.0,0.2727272727272727,0.0,0.5714285714285714,0.7272727272727273,-0.7272727272727273
0,2.5958682111999996,0.0,30.0,14.0,9.0,0.0,0.3181818181818182,0.0,0.6086956521739131,0.6818181818181819,-0.6818181818181819
0,3.2150418534399994,0.0,29.0,15.0,9.0,0.0,0.3409090909090909,0.0,0.625,0.6590909090909092,-0.6590909090909092
0,3.9580502241279993,0.0,28.0,16.0,9.0,0.0,0.36363636363636365,0.0,0.64,0.6363636363636364,-0.6363636363636364
0,4.849660268953599,0.0,28.0,16.0,9.0,0.0,0.36363636363636365,0.0,0.64,0.6363636363636364,-0.6363636363636364
0,5.919592322744318,0.0,28.0,16.0,9.0,0.0,0.36363636363636365,0.0,0.64,0.6363636363636364,-0.6363636363636364
0,7.203510787293181,0.0,27.0,17.0,9.0,0.0,0.38636363636363635,0.0,0.6538461538461539,0.6136363636363636,-0.6136363636363636
0,8.744212944751817,0.0,25.0,19.0,9.0,0.0,0.4318181818181818,0.0,0.6785714285714286,0.5681818181818181,-0.5681818181818181
0,10.59305553370218,0.0,24.0,20.0,9.0,0.0,0.45454545454545453,0.0,0.6896551724137931,0.5454545454545454,-0.5454545454545454
0,12.811666640442617,0.0,23.0,21.0,9.0,0.0,0.4772727272727273,0.0,0.7,0.5227272727272727,-0.5227272727272727
0,15.473999968531139,0.0,23.0,21.0,9.0,0.0,0.4772727272727273,0.0,0.7,0.5227272727272727,-0.5227272727272727
0,18.66879996223737,0.0,22.0,22.0,9.0,0.0,0.5,0.0,0.7096774193548387,0.5,-0.5
0,22.502559954684845,0.0,22.0,22.0,9.0,0.0,0.5,0.0,0.7096774193548387,0.5,-0.5
0,27.103071945621814,0.0,22.0,22.0,9.0,0.0,0.5,0.0,0.7096774193548387,0.5,-0.5
0,32.623686334746175,0.0,22.0,22.0,9.0,0.0,0.5,0.0,0.7096774193548387,0.5,-0.5
0,39.24842360169541,0.0,20.0,24.0,9.0,0.0,0.5454545454545454,0.0,0.7272727272727273,0.4545454545454546,-0.4545454545454546
0,47.198108322034486,0.0,18.0,26.0,9.0,0.0,0.5909090909090909,0.0,0.7428571428571429,0.40909090909090906,-0.40909090909090906
0,56.73772998644138,0.0,17.0,27.0,9.0,0.0,0.6136363636363636,0.0,0.75,0.38636363636363635,-0.38636363636363635
0,68.18527598372965,0.0,14.0,30.0,9.0,0.0,0.6818181818181818,0.0,0.7692307692307693,0.31818181818181823,-0.31818181818181823
0,81.92233118047558,0.0,12.0,32.0,9.0,0.0,0.7272727272727273,0.0,0.7804878048780488,0.2727272727272727,-0.2727272727272727
0,98.40679741657068,0.0,12.0,32.0,9.0,0.0,0.7272727272727273,0.0,0.7804878048780488,0.2727272727272727,-0.2727272727272727
0,118.1881568998848,0.0,11.0,33.0,9.0,0.0,0.75,0.0,0.7857142857142857,0.25,-0.25
0,0,0,0,0,0,0,1,1,0,0.0,0.0
